2.204498 [mod=PAM, lvl=WARN] [tid=406] 
3.682701 [mod=PAM, lvl=INFO] [tid=416] PAM_DBG:-----------------touch pam_initialized in atom ----------------
3.682827 [mod=PAM, lvl=INFO] [tid=416] PAM_DBG:-----------------created pam_initialized in atom ----------------
3.686638 [mod=PAM, lvl=WARN] [tid=416] RDKB_SYSTEM_BOOT_UP_LOG : Entering P&M loop... 
7.204758 [mod=PAM, lvl=INFO] [tid=406] PAM_DBG:---------------sem_trywait() returns 0 ---------------------
7.204777 [mod=PAM, lvl=INFO] [tid=406] PAM_DBG:---------------uptime after waiting for sem is 943507 seconds ---------------------
7.204800 [mod=PAM, lvl=INFO] [tid=406] PAM_DBG:------------diff time is 5 -------------
12.059181 [mod=PAM, lvl=WARN] [tid=618] The received event status is not expected!
13.450020 [mod=PAM, lvl=INFO] [tid=622] webcfg_rbus_discover_component rbusModuleList[Device.X_RDK_WebConfig.webcfgSubdocForceReset]
13.450039 [mod=PAM, lvl=ERROR] [tid=622] Failed to discover component. Error Code = 2
14.059269 [mod=PAM, lvl=WARN] [tid=618] The received event status is not expected!
17.241867 [mod=PAM, lvl=INFO] [tid=655] dhcpv6c_dbg_thrd: get message dibbler-client add 2001:dae:7:1::237 1 1800 2880 3600 3600 3001:dae:0:e400:: 56 1 1800 2880 3600 3600
17.242512 [mod=PAM, lvl=INFO] [tid=655] dhcpv6c_dbg_thrd: add
17.242592 [mod=PAM, lvl=WARN] [tid=655] dhcpv6c_dbg_thrd multinet_1-status is ready, ret val is 0
17.242603 [mod=PAM, lvl=INFO] [tid=655] dhcpv6c_dbg_thrd: v6addr is 2001:dae:7:1::237 ,pref_len is 56
17.242813 [mod=PAM, lvl=INFO] [tid=655] dhcpv6c_dbg_thrd: Dropbear interface is NOT eRouter0
17.243561 [mod=PAM, lvl=INFO] [tid=655] CosaUtilGetIpv6AddrInfo,Interface scope is : 32
17.243580 [mod=PAM, lvl=INFO] [tid=655] CosaUtilGetIpv6AddrInfo,Interface scope is : 0
17.248959 [mod=PAM, lvl=INFO] [tid=655] CosaUtilGetIpv6AddrInfo,Interface scope is : 32
17.248978 [mod=PAM, lvl=INFO] [tid=655] CosaUtilGetIpv6AddrInfo,Interface scope is : 0
17.250641 [mod=PAM, lvl=INFO] [tid=655] dhcpv6c_dbg_thrd: v6pref is 3001:dae:0:e400::/56 ,pref_len is 56
18.059498 [mod=PAM, lvl=INFO] [tid=618] EvtDispterWanIpAddrsCallback Setting current_wan_ipaddr and restarting firewall 612 
20.059708 [mod=PAM, lvl=WARN] [tid=618] Received msg that is not a SE_MSG_NOTIFICATION (15)
20.062260 [mod=PAM, lvl=WARN] [tid=618] The received event status is not expected!
23.450256 [mod=PAM, lvl=INFO] [tid=622] webcfg_rbus_discover_component rbusModuleList[Device.X_RDK_WebConfig.webcfgSubdocForceReset]
23.450333 [mod=PAM, lvl=ERROR] [tid=622] Failed to discover component. Error Code = 2
33.450428 [mod=PAM, lvl=INFO] [tid=622] webcfg_rbus_discover_component rbusModuleList[Device.X_RDK_WebConfig.webcfgSubdocForceReset]
33.450451 [mod=PAM, lvl=ERROR] [tid=622] Failed to discover component. Error Code = 2
43.450523 [mod=PAM, lvl=INFO] [tid=622] webcfg_rbus_discover_component rbusModuleList[Device.X_RDK_WebConfig.webcfgSubdocForceReset]
43.450539 [mod=PAM, lvl=ERROR] [tid=622] Failed to discover component. Error Code = 2
44.339672 [mod=PAM, lvl=INFO] [tid=418] [Pam_GetFirstIpInterfaceObjectName] -- Enter 
44.339699 [mod=PAM, lvl=NOTICE] [tid=418] CosaUtilGetLinkTypePath: 2
44.339706 [mod=PAM, lvl=NOTICE] [tid=418] CosaUtilGetLinkTypePath: return index 1
44.339733 [mod=PAM, lvl=NOTICE] [tid=418] CosaUtilGetLinkTypePath: 1
44.339737 [mod=PAM, lvl=NOTICE] [tid=418] CosaUtilGetLinkTypePath: return index 0
44.339741 [mod=PAM, lvl=NOTICE] [tid=418] Device.Ethernet.Interface.5, size 27, buf len 256
44.339752 [mod=PAM, lvl=NOTICE] [tid=418] CosaUtilGetLowerLayerName -- value erouter0
44.339764 [mod=PAM, lvl=NOTICE] [tid=418] CosaUtilGetLinkTypePath: 1
44.339767 [mod=PAM, lvl=NOTICE] [tid=418] CosaUtilGetLinkTypePath: return index 0
44.339771 [mod=PAM, lvl=NOTICE] [tid=418] Device.Ethernet.Interface.5, size 27, buf len 256
44.339783 [mod=PAM, lvl=INFO] [tid=418] [Pam_GetFirstIpInterfaceObjectName] -- Exit returnStatus: 0
44.341389 [mod=PAM, lvl=INFO] [tid=418] <<< DslhWmpdoMpaSetParameterAttributes pSetParameterAttribArray[0].RequesterID 4 >>>
44.341396 [mod=PAM, lvl=INFO] [tid=418] <<< DslhVarroSetNotification pMyObject->RequesterID 4 >>>
44.341419 [mod=PAM, lvl=INFO] [tid=418] <<<  pDslhVarRecord->RequesterID 4 >>>
53.450581 [mod=PAM, lvl=INFO] [tid=622] webcfg_rbus_discover_component rbusModuleList[Device.X_RDK_WebConfig.webcfgSubdocForceReset]
53.450600 [mod=PAM, lvl=ERROR] [tid=622] Failed to discover component. Error Code = 2
63.450645 [mod=PAM, lvl=INFO] [tid=622] webcfg_rbus_discover_component rbusModuleList[Device.X_RDK_WebConfig.webcfgSubdocForceReset]
63.450661 [mod=PAM, lvl=ERROR] [tid=622] Failed to discover component. Error Code = 2
73.450737 [mod=PAM, lvl=INFO] [tid=622] webcfg_rbus_discover_component rbusModuleList[Device.X_RDK_WebConfig.webcfgSubdocForceReset]
73.450752 [mod=PAM, lvl=ERROR] [tid=622] Failed to discover component. Error Code = 2
